mp_id,formula,anonymous_formulas,C3
mp-1178563,AgAsO3,ABC3,O3
mp-1183052,AcBO3,ABC3,O3
mp-1183053,AcGaO3,ABC3,O3
mp-1183115,AcAlO3,ABC3,O3
mp-1183139,AcNiO3,ABC3,O3
mp-1183142,AcMgO3,ABC3,O3
mp-1183145,AcPdO3,ABC3,O3
mp-1183150,AcSiO3,ABC3,O3
mp-1183152,AcScO3,ABC3,O3
mp-1183168,AcVO3,ABC3,O3
mp-1183417,BeAgO3,ABC3,O3
mp-1185297,LiAcO3,ABC3,O3
mp-23548,AgBiO3,ABC3,O3
mp-5537,NbAgO3,ABC3,O3
mp-559736,VAgO3,ABC3,O3
mp-638686,AgNO3,ABC3,O3
mp-677054,AgSbO3,ABC3,O3
mp-755834,AgSnO3,ABC3,O3
mp-775761,AgClO3,ABC3,O3
mp-861502,AcFeO3,ABC3,O3
mp-864606,AcCuO3,ABC3,O3
mp-864911,AcMnO3,ABC3,O3
mp-865927,AcTiO3,ABC3,O3
mp-866101,AcCrO3,ABC3,O3
mp-975463,RbAcO3,ABC3,O3
mp-979294,SrAgO3,ABC3,O3
mp-985292,AgBO3,ABC3,O3
mvc-15475,AlAgO3,ABC3,O3
mvc-3470,YAgO3,ABC3,O3
mp-1178561,AgClO3,ABC3,O3
mp-1178562,AgBrO3,ABC3,O3
mp-1184234,FeAgO3,ABC3,O3
mp-1186101,NaAgO3,ABC3,O3
mp-1187189,TaAgO3,ABC3,O3
mp-1203481,NbAgO3,ABC3,O3
mp-1282222,CoAgO3,ABC3,O3
mp-27941,AgClO3,ABC3,O3
mp-558950,AgAsO3,ABC3,O3
mp-624691,VAgO3,ABC3,O3
mp-669466,AgNO3,ABC3,O3
mp-754229,MnAgO3,ABC3,O3
mp-776150,ScAgO3,ABC3,O3
mp-8196,AgNO3,ABC3,O3
mp-975421,RbAgO3,ABC3,O3
mp-976229,KAgO3,ABC3,O3
mp-9890,TaAgO3,ABC3,O3
mvc-15935,AlAgO3,ABC3,O3
mvc-3476,AlAgO3,ABC3,O3
mp-1075933,SmAgO3,ABC3,O3
mp-1077622,EuAgO3,ABC3,O3
mp-1094009,YAgO3,ABC3,O3
mp-1178556,AgPbO3,ABC3,O3
mp-1178571,AgGeO3,ABC3,O3
mp-1178815,VAgO3,ABC3,O3
mp-1183169,AlAgO3,ABC3,O3
mp-1186999,SiAgO3,ABC3,O3
mp-1220387,NbAgO3,ABC3,O3
mp-1253488,AlAgO3,ABC3,O3
mp-12725,NbAgO3,ABC3,O3
mp-18702,AgPO3,ABC3,O3
mp-27384,AgIO3,ABC3,O3
mp-558637,AgTeO3,ABC3,O3
mp-759939,AgGeO3,ABC3,O3
mp-775774,AgBiO3,ABC3,O3
mp-776199,AgClO3,ABC3,O3
mp-779664,AgGeO3,ABC3,O3
mp-779706,AgGeO3,ABC3,O3
mvc-13858,YAgO3,ABC3,O3
mp-1076000,LaAgO3,ABC3,O3
mp-1202188,AgIO3,ABC3,O3
mp-1205362,NbAgO3,ABC3,O3
mp-540872,AgSbO3,ABC3,O3
mp-545999,AgSbO3,ABC3,O3
mp-552185,AgNO3,ABC3,O3
mp-559257,AgTeO3,ABC3,O3
mp-561489,AgTeO3,ABC3,O3
mp-752678,AgAuO3,ABC3,O3
mp-752700,CoAgO3,ABC3,O3
mp-753176,AgCO3,ABC3,O3
mp-753992,CoAgO3,ABC3,O3
mp-768308,LaAgO3,ABC3,O3
mp-775762,AgPO3,ABC3,O3
mp-775767,AgAsO3,ABC3,O3
mp-776165,AgAuO3,ABC3,O3
mp-776166,AgPdO3,ABC3,O3
mp-776168,AgRuO3,ABC3,O3
mp-780275,AgBO3,ABC3,O3
mp-849271,AgIO3,ABC3,O3
mp-867583,AgSbO3,ABC3,O3
