mp_id,formula,Piezoelectric_Modulus
mp-1025377,Cd(AgI2)2,0.44492
mp-1094066,ScAgS2,0.629901983
mp-12902,ErAgTe2,0.66249
mp-12903,YAgTe2,0.67857
mp-13956,Ag2PSe3,0.17376
mp-14092,AlAgTe2,0.084225
mp-22993,AgClO4,0.26678
mp-22995,Ag3SI,0.312888336
mp-23485,Ag2HgI4,0.166158448
mp-30908,Ag3PSe4,0.455622357
mp-3532,CrAgSe2,0.291618409
mp-36526,AcOF,0.845496667
mp-674981,Ag3SI,0.518299213
mp-676561,Ag3SI,0.45796237
mp-685969,Ag8GeTe6,1.042443742
mp-753277,LiAgF2,0.670694113
mp-753316,Li2AgF5,1.188247421
mp-775761,AgClO3,0.01496
mp-983589,Ag2GeO3,0.30754
mp-996984,AgClO2,0.28270237
mp-1229128,Ag3PO4,1.224157632
mp-12459,Ag3PS4,0.623903844
mp-12904,HoAgTe2,0.68695
mp-16238,Li2AgSb,0.03671
mp-17862,Ag3Ge5P6,0.107814593
mp-18105,CsAgSe4,0.08643
mp-18262,HoAgS2,0.019012856
mp-19412,VAg3O4,1.1953
mp-20554,InAgSe2,0.20373
mp-21459,InAgS2,0.449711162
mp-35264,Pr5AgSe8,0.253962119
mp-37923,Sm5AgS8,0.417402088
mp-4004,Ag5SbS4,0.271125324
mp-4182,CrAgS2,0.892473614
mp-5342,GaAgS2,0.253555
mp-5518,GaAgSe2,0.1884
mp-570256,Ag2HgI4,0.20626
mp-5770,AgNO2,0.3642
mp-632480,Ag3SI,1.048218625
mp-675420,Pr4Ag2Se7,1.603405171
mp-675977,AgBiS2,24.84459113
mp-676799,Ag8GeTe6,2.28505431
mp-752767,LiAgF2,0.159698337
mp-760580,Li2AgF3,0.0
mp-761269,Li2AgF4,0.0
mp-8196,AgNO3,0.264643358
mp-22386,InAgTe2,0.0516
mp-27549,K2AgBi,0.0
mp-33449,Tb5AgS8,0.392441929
mp-34486,Pr5AgS8,0.762931344
mp-37449,Nd5AgS8,0.530745653
mp-4024,DyAgTe2,0.71332
mp-556916,GaAgS2,0.344932637
mp-9538,Ag3AsS4,0.538943732
mp-9900,Ag2GeS3,0.217052771
mp-998358,MgAgF3,0.0
mp-1188559,YAgSe2,0.19897
mp-12955,HoAgSe2,0.1647
mp-14091,AlAgSe2,0.236835
mp-19833,InAgS2,0.28136
mp-23558,Ag2BiO3,1.399796329
mp-29163,Ag2TeS3,1.123033618
mp-29816,Ag2HgO2,0.03553
mp-33775,La5AgSe8,0.294498773
mp-34982,Ag3AuS2,0.493459241
mp-3551,TbAgTe2,0.7379
mp-4044,ErAgSe2,0.12079
mp-4899,GaAgTe2,0.13848
mp-552185,AgNO3,0.6310826
mp-5710,Ag3Te2Au,1.08e-17
mp-5782,AlAgS2,0.29809
mp-675879,Ag3SI,0.708044203
mp-676284,YAgSe2,0.066180444
mp-758604,LiAgF2,1.27724
mp-8411,Na2AgAs,0.0
mp-1025315,Mn(AlTe2)2,0.05759
mp-1228809,AlReSi,2.483052203
mp-27462,AlPS4,0.00607
mp-3038,Al2HgSe4,0.219966129
mp-560151,AlPO4,0.144645
mp-644097,BaAlH5,0.979679622
mp-772898,AlGaO3,0.704724512
mp-7885,AlAgS2,2.292166884
mp-862787,AlInSe3,0.101373982
mp-999052,Ti2MnAl,1.43574
mp-1102536,AlCuBr4,0.27989
mp-1106183,LiAlS2,0.97177665
mp-13703,Al4CO4,0.678970545
mp-17694,Ca5Al6O14,0.218118916
mp-21892,Al2PbO4,0.93636
mp-23807,AlHO2,2.440293023
mp-3281,Al5BO9,0.147227432
mp-36775,SrAl2O4,0.67961
mp-625075,AlHO2,2.233475618
mp-7117,LiAlSe2,0.276724427
mp-7848,AlPO4,0.423359124
mp-7908,Al2ZnTe4,0.058933017
mp-1019508,AlGa3N4,0.23519
mp-27755,KAlCl4,0.191475323
mp-28020,AlCuCl4,0.05847
mp-4979,AlCuS2,0.13739
mp-556020,Li3AlF6,0.2258
mp-569787,Al(BH4)3,0.02134
mp-760396,TaAlO4,1.031104984
mp-7849,AlAsO4,0.309584913
mp-29796,Ho(AlCl4)3,0.059397614
mp-29820,Ca3(AlN2)2,0.04294
mp-34330,MgAl2O4,0.509843747
mp-35327,Al(CN)3,0.00696
mp-37091,Sr(AlTe2)2,0.063875
mp-554868,Al(MoS2)4,0.130143583
mp-568450,SrAlH5,0.21644
mp-625054,AlHO2,1.47606
mp-625318,Al(HO)3,0.531436804
mp-626073,Al(HO)3,1.443861548
mp-626435,Al(HO)3,4.887881315
mp-754979,Y3AlO6,0.620111272
mp-7907,Al2ZnSe4,0.082368616
mp-8258,BaAl4S7,0.36962
mp-1008556,AlGaN2,0.480111362
mp-1019378,Al3GaN4,0.40219
mp-1019379,AlB3N4,0.46892
mp-1019380,Al3BN4,0.15565
mp-1071955,AlPS4,0.06057
mp-23719,BeAlH5,0.096895503
mp-31408,Al4(B2O5)3,0.226707688
mp-3161,LiAlSi,0.49018
mp-35267,Al5CuS8,0.05886
mp-37405,Al5CuSe8,0.06858
mp-37990,AlPO4,0.09865
mp-504482,AlInS3,0.143556655
mp-530399,LiAl5O8,0.0
mp-551918,AlBiO3,5.064935412
mp-554002,Al(HO)3,0.584998982
mp-583071,CaAlH5,2.27537
mp-5859,AlPO4,0.349661902
mp-5920,LiAlGe,0.59438
mp-626500,Al(HO)3,1.01335629
mp-768573,Lu3AlO6,0.711095154
mp-7910,Al2HgTe4,0.120922462
mp-985293,Al(HO)3,0.11714
mp-3427,LiAlO2,0.04041
mp-38394,Ba(AlTe2)2,0.079297177
mp-4051,AlPO4,2.11313
mp-5492,SrAl2O4,0.143691955
mp-555903,Al(IO3)3,1.573204377
mp-568400,Sc(AlC)3,2.855127707
mp-5724,AlPO4,0.229127767
mp-5928,Al2CdS4,0.225145333
mp-675682,Al11NO15,0.251271018
mp-7906,Al2HgS4,0.317172827
mp-7909,Al2CdTe4,0.089395899
mp-8017,AlCuTe2,0.040325
mp-9212,NaAlO2,1.198037233
mp-10616,BaLiAs,0.496954638
mp-11654,BAsO4,0.211808919
mp-27230,As2SO6,0.10818
mp-30927,CsAs4F13,1.002718479
mp-3159,Al2CdSe4,0.151327506
mp-4586,LiAlTe2,0.06602
mp-545974,AlPO4,0.445989061
mp-8016,AlCuSe2,0.04272
mp-1008528,B2AsP,0.054517933
mp-1009084,BeSnAs2,0.46825
mp-1009088,BeGeAs2,0.10722
mp-1016197,MgSiAs2,0.14469
mp-1078724,LiAsSe2,1.465844053
mp-1228745,AsRhS,0.10663
mp-1228810,AsIrSe,0.11778
mp-14367,AsPO5,0.08661
mp-16363,CoAsS,0.12321
mp-18361,K7NbAs4,0.243042255
mp-18594,K3AsSe3,0.023263333
mp-27810,Ba(GeAs)2,0.078197301
mp-30300,Cs3As5O9,0.334231712
mp-3078,CdSiAs2,0.18113
mp-3481,KSnAs,0.426877947
mp-3595,ZnSiAs2,0.18673
mp-36577,Sr(AsS2)2,3.175637019
mp-3996,GaAsO4,0.646596832
mp-4008,ZnGeAs2,0.21275
mp-623837,As(CN)3,0.427019632
mp-756044,Na3AsO4,0.987478802
mp-7684,Tl3AsSe3,0.97392975
mp-867203,Sr2CdAs2,0.568030383
mp-9197,Li3AsO4,1.136009713
mp-961684,LiCaAs,0.682684821
mp-1095180,Ca2CdAs2,0.874908719
mp-1228823,AsIrS,0.11016
mp-14368,SbAsO5,0.08264
mp-1541585,Mn2As2O7,0.620404494
mp-18440,Rb7NbAs4,0.156948014
mp-28471,Li3AsS3,0.324586328
mp-4627,CoAsS,0.189825316
mp-555874,LiAsS2,0.587938155
mp-5707,CsAsF4,0.20108533
mp-5830,Na3AsS3,0.13672
mp-676464,Cd3AsI3,0.248423515
mp-754840,TaAsO4,2.002565389
mp-770219,NbAsO4,2.543535175
mp-8686,Na3AsSe3,0.081566667
mp-961685,NaCaAs,0.007329833
mp-9775,NaSrAs,0.210799138
mp-9791,Tl3AsS3,0.792178664
mp-1009087,BeSiAs2,0.131505
mp-1079666,Ba2CdAs2,0.582351563
mp-1193111,K3AsS3,0.04751
mp-1214087,Ca3AsI3,0.0
mp-1228724,AsRhSe,0.1142
mp-13305,SmSnAu,0.44718
mp-14001,Ba4SiAs4,0.08735
mp-14659,KAsSe2,0.665263316
mp-15573,Tl3AsO4,1.050721201
mp-15687,KZnAs,0.280092082
mp-2894,ScSnAu,0.34495
mp-29643,CuAsSe2,1.404329102
mp-3277,BAsO4,0.627677754
mp-541032,Te7As5I,0.70428437
mp-756401,TaAsO4,1.24985812
mp-758196,Mg3(AsO4)2,0.28134791
mp-9124,LiZnAs,0.7323
mp-1190030,La3Sb4Au3,0.31933
mp-28719,Ba(AuF4)2,0.304393464
mp-29196,AuCN,0.864184627
mp-30390,HoSnAu,0.286091927
mp-984350,Dy3Sb4Au3,0.79917
mp-1104686,Cs4Au6S5,0.236418918
mp-1207095,SiPAu,0.395149802
mp-13654,Y3Sb4Au3,0.876959944
mp-30159,AuBrF6,0.075750044
mp-996959,LiAuO2,0.066344835
mp-1191586,Zn(BH4)2,0.26224
mp-1219553,RbBH4,0.05996
mp-13308,HoGeAu,0.5782
mp-19343,Co4B6O13,0.13932
mp-568556,Mg2B24C,0.700417551
mp-753056,HoBO3,1.717010675
mp-760457,YBO3,1.711325877
mp-961693,ZrInAu,0.290390237
mp-1019509,B2S2O9,0.237062597
mp-1019560,Ca2B2O5,0.16603
mp-1019743,Ga3BN4,0.11691
mp-11000,CaB4O7,1.670003161
mp-11653,BPO4,0.153004208
mp-12403,LiBF4,0.08890335
mp-13335,Cd(BO2)2,0.769631307
mp-28582,CsB3H8,0.0
mp-5540,SrB4O7,1.007429864
mp-561055,RbB3O5,0.09927
mp-569450,LiB6C,0.331729934
mp-676049,KBF4,0.391044044
