material_id,pretty_formula,formula_anonymous
mp-1006278,AcEuAu2,ABC2
mp-1018020,NiAgSe2,ABC2
mp-1025028,PrSiAg,ABC
mp-1025377,Cd(AgI2)2,AB2C4
mp-10477,RbAg3Se2,AB2C3
mp-1065204,CrAgS2,ABC2
mp-1071876,CaAgBi,ABC
mp-1078079,AgPPd5,ABC5
mp-1078600,TmAgTe2,ABC2
mp-1079656,TmAgS2,ABC2
mp-1080547,CeMgAg,ABC
mp-1091398,YSiAg,ABC
mp-1093545,TlAgPd2,ABC2
mp-1093681,CaInAg2,ABC2
mp-1093688,CaCdAg2,ABC2
mp-1093739,ZrAgHg2,ABC2
mp-1093746,NaAg2Pd,ABC2
mp-1093802,LiAgPd2,ABC2
mp-1093931,Ba2CdAg,ABC2
mp-1093988,AgPd2Au,ABC2
mp-1094066,ScAgS2,ABC2
mp-1095594,TlAgS,ABC
mp-1095743,Sc2CuAg,ABC2
mp-1095753,La2TlAg,ABC2
mp-1095788,Y2AlAg,ABC2
mp-1095823,Zn2AgIr,ABC2
mp-1095903,LiAg2Au,ABC2
mp-1096056,InAgPd2,ABC2
mp-1096155,LiAgPb2,ABC2
mp-1096181,Ca2GaAg,ABC2
mp-1096334,Ti2AgMo,ABC2
mp-1096410,LaAg2Hg,ABC2
mp-1096503,Mg2CuAg,ABC2
mp-1096703,NaTl2Ag,ABC2
mp-1096709,Cd2AgPd,ABC2
mp-1096805,AgBrO2,ABC2
mp-1096959,FeAgSe2,ABC2
mp-1096976,GaAgO2,ABC2
mp-1097083,Sc2ZnAg,ABC2
mp-1097092,Y2AgRh,ABC2
mp-1097271,LiY2Ag,ABC2
mp-1097285,Cs2AgAu,ABC2
mp-1097380,LiCa2Ag,ABC2
mp-1097539,AgPd2Pb,ABC2
mp-1097586,AgSnAu2,ABC2
mp-1097683,Y2AgOs,ABC2
mp-1100873,YAgSe2,ABC2
mp-1104271,Ag3SbS3,AB3C3
mp-1120758,La2AgO4,AB2C4
mp-1172905,AgBiS2,ABC2
mp-1178563,AgAsO3,ABC3
mp-1183052,AcBO3,ABC3
mp-1183053,AcGaO3,ABC3
mp-1183054,Ac2GaSi,ABC2
mp-1183055,AcHgTe2,ABC2
mp-1183060,AcHgRh2,ABC2
mp-1183061,Ac2ZnSn,ABC2
mp-1183063,Ac2CdGe,ABC2
mp-1183065,AcAg2Pb,ABC2
mp-1183066,Ac2ZnAu,ABC2
mp-1183067,Ac2ZnHg,ABC2
mp-1183068,Ac2CdGa,ABC2
mp-1183070,Ac2TlSn,ABC2
mp-1183071,AcCdAu2,ABC2
mp-1183072,Ac2TlCd,ABC2
mp-1183073,Ac2TlIn,ABC2
mp-1183074,Ac2MgGa,ABC2
mp-1183076,Ac2AgPb,ABC2
mp-1183077,Ac2YbMg,ABC2
mp-1183078,Ac2MgPb,ABC2
mp-1183079,Ac2MgTl,ABC2
