mp_id,formula,XYZ
mp-1178563,AgAsO3,ABC3
mp-1183052,AcBO3,ABC3
mp-1183053,AcGaO3,ABC3
mp-1183115,AcAlO3,ABC3
mp-1183139,AcNiO3,ABC3
mp-1183142,AcMgO3,ABC3
mp-1183145,AcPdO3,ABC3
mp-1183150,AcSiO3,ABC3
mp-1183152,AcScO3,ABC3
mp-1183168,AcVO3,ABC3
mp-1183417,BeAgO3,ABC3
mp-1185297,LiAcO3,ABC3
mp-22995,Ag3SI,ABC3
mp-23548,AgBiO3,ABC3
mp-36600,Ag3SBr,ABC3
mp-5537,NbAgO3,ABC3
mp-558189,Ag3SI,ABC3
mp-559736,VAgO3,ABC3
mp-5821,TaAgS3,ABC3
mp-638686,AgNO3,ABC3
mp-673825,Ag3SI,ABC3
mp-674981,Ag3SI,ABC3
mp-676561,Ag3SI,ABC3
mp-677054,AgSbO3,ABC3
mp-755834,AgSnO3,ABC3
mp-757915,LiAgF3,ABC3
mp-760151,LiAgF3,ABC3
mp-775761,AgClO3,ABC3
mp-861502,AcFeO3,ABC3
mp-864606,AcCuO3,ABC3
mp-864911,AcMnO3,ABC3
mp-865927,AcTiO3,ABC3
mp-866101,AcCrO3,ABC3
mp-975463,RbAcO3,ABC3
mp-979294,SrAgO3,ABC3
mp-985292,AgBO3,ABC3
mp-998154,TlAgBr3,ABC3
mp-998201,RbAgCl3,ABC3
mp-998414,CuAgF3,ABC3
mp-998553,KAgBr3,ABC3
mp-998568,KAgBr3,ABC3
mvc-15475,AlAgO3,ABC3
mvc-3470,YAgO3,ABC3
mp-10666,Mn3AgN,ABC3
mp-1105645,Ag3SBr,ABC3
mp-1178561,AgClO3,ABC3
mp-1178562,AgBrO3,ABC3
mp-1184234,FeAgO3,ABC3
mp-1186101,NaAgO3,ABC3
mp-1187189,TaAgO3,ABC3
mp-1200271,AgPd3Se,ABC3
mp-1203481,NbAgO3,ABC3
mp-1206915,CoAgF3,ABC3
mp-1209766,NiAgF3,ABC3
mp-1225128,EuGa3Ag,ABC3
mp-1282222,CoAgO3,ABC3
mp-27941,AgClO3,ABC3
mp-558950,AgAsO3,ABC3
mp-561242,TaAgS3,ABC3
mp-561920,CsAgF3,ABC3
mp-624691,VAgO3,ABC3
mp-632480,Ag3SI,ABC3
mp-669466,AgNO3,ABC3
mp-752605,LiAgF3,ABC3
mp-754229,MnAgO3,ABC3
mp-759066,LiAgF3,ABC3
mp-776150,ScAgO3,ABC3
mp-8196,AgNO3,ABC3
mp-867844,RbAgF3,ABC3
mp-975421,RbAgO3,ABC3
mp-976229,KAgO3,ABC3
mp-9890,TaAgO3,ABC3
mp-998212,RbAgBr3,ABC3
mp-998344,CsAgBr3,ABC3
mp-998610,TlAgCl3,ABC3
mp-998748,TlAgCl3,ABC3
mvc-15935,AlAgO3,ABC3
mvc-3476,AlAgO3,ABC3
mp-1075933,SmAgO3,ABC3
mp-1077622,EuAgO3,ABC3
mp-1094009,YAgO3,ABC3
mp-1178556,AgPbO3,ABC3
mp-1178571,AgGeO3,ABC3
mp-1178815,VAgO3,ABC3
mp-1183169,AlAgO3,ABC3
mp-1186999,SiAgO3,ABC3
mp-1210575,MgAgF3,ABC3
mp-1220387,NbAgO3,ABC3
