,mp_id,formula
0,mp-1183052,AcBO3
1,mp-1183053,AcGaO3
2,mp-1183115,AcAlO3
3,mp-1183139,AcNiO3
4,mp-1183142,AcMgO3
5,mp-1183145,AcPdO3
6,mp-1183150,AcSiO3
7,mp-1183152,AcScO3
8,mp-1183168,AcVO3
9,mp-1183417,BeAgO3
10,mp-1185297,LiAcO3
11,mp-861502,AcFeO3
12,mp-864606,AcCuO3
13,mp-864911,AcMnO3
14,mp-865927,AcTiO3
15,mp-866101,AcCrO3
16,mp-975463,RbAcO3
17,mp-979294,SrAgO3
18,mp-985292,AgBO3
19,mp-998201,RbAgCl3
20,mp-998414,CuAgF3
21,mvc-15475,AlAgO3
22,mp-1178562,AgBrO3
23,mp-1184234,FeAgO3
24,mp-1186101,NaAgO3
25,mp-1206915,CoAgF3
26,mp-1209766,NiAgF3
27,mp-867844,RbAgF3
28,mp-975421,RbAgO3
29,mp-976229,KAgO3
30,mp-998610,TlAgCl3
31,mp-1075933,SmAgO3
32,mp-1077622,EuAgO3
33,mp-1094009,YAgO3
34,mp-1183169,AlAgO3
35,mp-1186999,SiAgO3
36,mp-1210575,MgAgF3
37,mp-12725,NbAgO3
38,mp-13819,KAgF3
39,mp-998358,MgAgF3
40,mp-998365,NiAgF3
41,mp-1076000,LaAgO3
42,mp-1206344,MnAgF3
43,mp-1206910,CoAgF3
44,mp-14099,ZnAgF3
45,mp-998152,TlAgF3
46,mp-998554,KAgCl3
47,mvc-15521,YAgO3
48,mp-1183176,AlNiO3
49,mp-23080,AlBiO3
50,mvc-11224,AlVO3
51,mvc-14600,AlSbO3
52,mp-1183160,AlInO3
53,mp-1185485,LuAlO3
54,mp-5323,CeAlO3
55,mvc-10882,AlMoO3
56,mp-1183154,AlPbO3
57,mp-5304,LaAlO3
58,mp-972066,ZrAlO3
59,mp-973892,EuAlO3
60,mvc-11155,AlNiO3
61,mvc-11225,AlFeO3
62,mvc-11226,AlCoO3
63,mvc-15476,AlBiO3
64,mp-14254,NdAlO3
65,mp-8218,PrAlO3
66,mvc-11052,AlSnO3
67,mvc-11693,TiAlO3
68,mvc-15239,AlCuO3
69,mvc-15604,AlCrO3
70,mp-1178268,GdAlO3
71,mp-1183134,AlSbO3
72,mp-758371,YbAlO3
73,mp-1183128,AlVO3
74,mp-984723,DyAlO3
75,mvc-15603,MnAlO3
76,mp-1184150,ErAlO3
77,mp-1183911,CsAsO3
78,mp-1184937,KAsO3
79,mp-976133,NaAsO3
80,mp-976763,NiAsO3
81,mp-983564,EuAsO3
82,mp-1184913,InAsO3
83,mp-975425,RbAsO3
84,mp-1184215,FeAsO3
85,mp-973156,ScAsO3
86,mp-978851,SrAsO3
87,mp-1183397,CoBO3
88,mp-1183631,CdBO3
89,mp-1184546,HoBO3
90,mp-1187494,TlBO3
91,mp-972442,SnBO3
92,mp-1184042,CuBO3
93,mp-1188026,ZrBO3
94,mp-1214407,BaBO3
95,mp-973738,GeBO3
96,mp-984554,BPbO3
97,mp-1183194,BTeO3
98,mp-1184023,GaBO3
99,mp-1184625,HfBO3
100,mp-973877,PaBO3
101,mp-1183242,BPdO3
102,mp-1185996,MnBO3
103,mp-1187416,ThBO3
104,mp-971704,ZnBO3
105,mp-1017465,BaVO3
106,mp-1076782,BaCoO3
107,mp-1183211,BSbO3
108,mp-1183291,BaErO3
109,mp-1183310,BaEuO3
110,mp-19322,BaMoO3
111,mp-3834,BaZrO3
112,mp-545783,BaBiO3
113,mp-5777,BaTiO3
114,mp-1016852,BaMnO3
115,mp-1017591,BaRuO3
116,mp-1076932,BaTiO3
117,mp-1120765,BaNiO3
118,mp-1183288,BaInO3
119,mp-1183393,BaTlO3
120,mp-2929,BaTbO3
121,mp-2998,BaTiO3
122,mp-3163,BaSnO3
123,mp-504715,BaTiO3
124,mp-754678,BaTaO3
125,mp-755877,BaNdO3
126,mp-8557,BaPaO3
127,mp-998552,BaHfO3
128,mp-1016821,BaSiO3
129,mp-1016823,BaGeO3
130,mp-1016850,BaRhO3
131,mp-1076800,BaCuO3
132,mp-1178510,BaPdO3
133,mp-1227982,BaCO3
134,mp-19990,BaTiO3
135,mp-5020,BaTiO3
136,mp-561598,BaPbO3
137,mp-5663,BaCeO3
138,mp-644497,BaTiO3
139,mp-995191,BaTiO3
140,mp-1183289,BaScO3
141,mp-1183292,BaCdO3
142,mp-1183394,BaTmO3
143,mp-1183406,BaYbO3
144,mp-19035,BaFeO3
145,mp-21280,BaPbO3
146,mp-3020,BaNbO3
147,mp-5986,BaTiO3
148,mp-1183286,BaDyO3
149,mp-1183405,BaZnO3
150,mp-1183443,BeSbO3
151,mp-1183449,BeVO3
152,mp-1184148,ErBeO3
153,mp-1184610,HoBeO3
154,mp-1186392,PaBeO3
155,mp-1187310,TbBeO3
156,mp-1187421,ThBeO3
157,mp-1227955,BaBiO3
158,mp-4559,BaCO3
159,mp-4783,BaPrO3
160,mp-8037,BaThO3
161,mp-978503,SmBeO3
162,mp-981934,LaBeO3
163,mp-984552,BeZnO3
164,mp-1183403,BeBiO3
165,mp-1183413,BeHgO3
166,mp-1183415,BeGeO3
167,mp-1183418,BeCdO3
168,mp-1183426,BeCuO3
169,mp-1183436,BeInO3
170,mp-1183447,BePdO3
171,mp-1183499,BePbO3
172,mp-1183685,CeBeO3
173,mp-1184325,EuBeO3
174,mp-1184468,GdBeO3
175,mp-1184563,HfBeO3
176,mp-1186216,NbBiO3
177,mp-1186533,PmBeO3
178,mp-1186742,PrBeO3
